"idseccion","cod_tienda","nombre_tienda","idseccion_zona","cod_zona","zona","idseccion_plaza","cod_plaza","plaza","idseccion_division","cod_division","division","estado","fecha_apertura","fecha_cierre","direccion_sbs","distrito","provincia","departamento","geoubicacion","centro_costos","n_resolucion_sbs","fecha_resolucion","cod_sbs","condicion","tipo_tienda","clasificacion_tienda","tipo_horario","horario","nombre_almacen","embozadora","atencion_feriados","grupo_campana","ubigeo","tienda_imagine","fecha_imagine","tipo_idseccion","active_controller","kiosko","latitud","longitud","metros_cuadrados","cod_sector_gt","asofdate","codpropositositio","descpropositositio","codclasificaciontienda","codtipohorario","codtipotienda","codgeoubicacion","usuariocreamodifi","fechacreamodifi","horacreamodifi","lote","cu_tienda","region_convenios","region_convnominas","plaza_convenios","zona_convenios","fecinformacion"
"15200","152","MM Vivanda La Molina","83200","Z10","Zona 10","","","","82100","TL","Tiendas Lima","Cerrada","20110310","20131118","URBANIZACION LA RINCONADA ALTA S/N, LT N? 1, SECCION H, PARCELA SEMI RUSTICA","LA MOLINA","LIMA","LIMA","Moderna 1","","SBS 3000-2011","20110307","002-491","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM VIVANDA LA MOLINA","con Embozadora","SI","Normal","140110","NO","19000101","T","","","","","","","","","","","","","","","20210503","08:46:44.2470000",,"000152","Lima","00 LIMA","Lima","LIMA",
"11900","119","San Borja Norte","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","20081128","","AV. AVIACIÓN N° 2699 ESQUINA CON AV. SAN BORJA NORTE","SAN BORJA","LIMA","LIMA","Moderna 1","1190300000","SBS 10680-2008","20081106","002-427","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA SAN BORJA NORTE","sin Embozadora","NO","Normal","140140","SI","20131023","T","1","1","-12.093966999999999","-77.002487000000002","214.09999999999999","43237","","","","","","","","","20210503","08:46:44.2470000",,"000119","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"15600","156","Bazar Naval","82000","Z2","Zona Oeste","","","","82100","TL","Tiendas Lima","Activa","20060928","","AV. VENEZUELA CUDRA. # 36 S/N - BAZAR NAVAL DE LA MARINA DE GUERRA DEL PERU","SAN MIGUEL","LIMA","LIMA","Moderna 1","1560300000","SBS 1199-2006","20060921","002-347","Alquilada","Tienda Cerrada","Cerrada","Cerrada","L a V de 8:30am a 5:30pm / S de 9:00am a 1:00pm","TIENDA BAZAR NAVAL","sin Embozadora","NO","Normal","140101","NO","19000101","T","0","","-12.061786700000001","-77.09166295","33.5","43216","","","","","","","","","20210503","08:46:44.2470000",,"000156","Lima","00 LIMA","Zona Oeste","LIMA",
"02400","024","Venezuela","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","19890501","","AV. VENEZUELA 1251","BREÑA","LIMA","LIMA","Lima Centro","0240300000","SBS 14294-2009","20091030","002-208","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA VENEZUELA","sin Embozadora","NO","Normal","140104","NO","19000101","T","0","","-12.05545465","-77.051920440000004","164.61000000000001","43121","","","","","","","","","20210503","08:46:44.2470000",,"000024","Lima","00 LIMA","Zona Centro","LIMA",
"49300","493","MM Vea San Juan de Lurigancho","81700","Z4","Zona 4","","","","82100","TL","Tiendas Lima","Cerrada","20090526","20200530","AV. CANTO GRANDE MZ UNIDAD 44-C, URB QUINTA SAN FERNANDO","SAN JUAN DE LURIGANCHO","LIMA","LIMA","Lima Este","4930300000","SBS 2419-2009","20090408","002-455","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea SAN JUAN DE LURIGANCHO","con Embozadora","SI","Normal","140137","NO","19000101","T","0","","-11.990933999999999","-77.015355999999997","95.829999999999998","4332A","","","","","","","","","20210503","08:46:44.2470000",,"000493","Lima","00 LIMA","Zona Este","LIMA",
"42000","420","Cusco","90405","R3","Región Sur","42001","PCUS","Plaza Cusco","98900","TP","Tiendas Provincia","Activa","19421104","","AV. EL SOL 380","CUSCO","CUSCO","CUSCO","Sur","4200300000","SBS 600-2009","20090203","002-082","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PLAZA CUSCO","sin Embozadora","NO","Normal","70101","SI","20131125","T","1","2","-13.519914","-71.977226000000002","422","42216","","","","","","","","","20210503","08:46:44.2470000",,"000420","Sur","04 SUR","Cusco","PROVINCIA",
"31700","317","Arequipa La Negrita","","","","30001","PAQP","Plaza Arequipa","98900","TP","Tiendas Provincia","Activa","20070710","","C.C. LA NEGRITA - AV.VENEZUELA S/N","AREQUIPA","AREQUIPA","AREQUIPA","Sur","3170300000","SBS 568-2007","20070511","002-374","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA AREQUIPA LA NEGRITA","sin Embozadora","NO","Normal","40101","SI","20131028","T","1","1","-16.403403000000001","-71.518151000000003","221.80000000000001","4222N","","","","","","","","","20210503","08:46:44.2470000",,"000317","Arequipa","04 SUR","Arequipa","PROVINCIA",
"15800","158","Magdalena","82000","Z2","Zona Oeste","","","","82100","TL","Tiendas Lima","Activa","20081126","","JR. LEONCIO PRADO N° 890","MAGDALENA","LIMA","LIMA","Moderna 2","1580300000","SBS 9747-2008","20080930","002-420","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:30pm / S de 9:00am a 1:00pm","TIENDA MAGDALENA","sin Embozadora","NO","Normal","140112","SI","20131030","T","1","1","-12.08986915","-77.071978639999998","130.93000000000001","4312A","","","","","","","","","20210503","08:46:44.2470000",,"000158","Lima","00 LIMA","Zona Oeste","LIMA",
"64400","644","Prisma Tower","96200","Z5","Zona 5","","","","82100","TL","Tiendas Lima","Cerrada","20161001","20200430","Av. Antonio Miro Quesada N° 421, 423, 425, 427, 427-A, 429 y 431, Local N° 102","MAGDALENA","LIMA","LIMA","","6440300000","SBS 1833 - 2016","20160401","","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TF PRISMA TOWER","sin Embozadora","","","","SI","20140704","T","1","1","-12.0955294","-77.059718399999994","260","4313C","","","","","","","","","20210503","08:46:44.2470000",,"000644","Lima","","Zona Moderna Oeste","LIMA",
"25600","256","MM Vea Caminos del Inca","81200","Z6","Zona Moderna Este","","","","82100","TL","Tiendas Lima","Activa","20051207","","AV. CAMINOS DEL INCA #351 - CHACARILLA","SURCO","LIMA","LIMA","Moderna 1","2560300000","SBS 1651-2005","20051109","002-339","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea CAMINOS DEL INCA","con Embozadora","SI","Normal","140129","NO","19000101","T","0","","-12.114371","-76.990921","34","43334","","","","","","","","","20210503","08:46:44.2470000",,"000256","Lima","00 LIMA","Zona Moderna Este","LIMA",
